Abbreviation,Ability,Summary,Rules
ARTCM12-#,"Artillery, Cruise Missile/120",Element has an artillery attack,"This special ability lets an Element make an artillery attack. Record each type of artillery separately. If an Element has multiple artillery weapons, include the number ofeach. For example, an Element with two Long Toms would record this ability as ARTLT-2. Refer to the Artillery Abbreviations Table, on page 344 (see the Bomb (BOMB#) special ability, p. 346, for Arrow-IV missiles as bombs)."
ARTCM5-#,"Artillery, Cruise Missile/50",Element has an artillery attack,"This special ability lets an Element make an artillery attack. Record each type of artillery separately. If an Element has multiple artillery weapons, include the number ofeach. For example, an Element with two Long Toms would record this ability as ARTLT-2. Refer to the Artillery Abbreviations Table, on page 344 (see the Bomb (BOMB#) special ability, p. 346, for Arrow-IV missiles as bombs)."
ARTCM7-#,"Artillery, Cruise Missile/70",Element has an artillery attack,"This special ability lets an Element make an artillery attack. Record each type of artillery separately. If an Element has multiple artillery weapons, include the number ofeach. For example, an Element with two Long Toms would record this ability as ARTLT-2. Refer to the Artillery Abbreviations Table, on page 344 (see the Bomb (BOMB#) special ability, p. 346, for Arrow-IV missiles as bombs)."
ARTCM9-#,"Artillery, Cruise Missile/90",Element has an artillery attack,"This special ability lets an Element make an artillery attack. Record each type of artillery separately. If an Element has multiple artillery weapons, include the number ofeach. For example, an Element with two Long Toms would record this ability as ARTLT-2. Refer to the Artillery Abbreviations Table, on page 344 (see the Bomb (BOMB#) special ability, p. 346, for Arrow-IV missiles as bombs)."
ARTLT-#,"Artillery, Long Tom",Element has an artillery attack,"This special ability lets an Element make an artillery attack. Record each type of artillery separately. If an Element has multiple artillery weapons, include the number ofeach. For example, an Element with two Long Toms would record this ability as ARTLT-2. Refer to the Artillery Abbreviations Table, on page 344 (see the Bomb (BOMB#) special ability, p. 346, for Arrow-IV missiles as bombs)."
ARTLTC-#,"Artillery, Long Tom Cannon",Element has an artillery attack,"This special ability lets an Element make an artillery attack. Record each type of artillery separately. If an Element has multiple artillery weapons, include the number ofeach. For example, an Element with two Long Toms would record this ability as ARTLT-2. Refer to the Artillery Abbreviations Table, on page 344 (see the Bomb (BOMB#) special ability, p. 346, for Arrow-IV missiles as bombs)."
ARTS-#,"Artillery, Sniper",Element has an artillery attack,"This special ability lets an Element make an artillery attack. Record each type of artillery separately. If an Element has multiple artillery weapons, include the number ofeach. For example, an Element with two Long Toms would record this ability as ARTLT-2. Refer to the Artillery Abbreviations Table, on page 344 (see the Bomb (BOMB#) special ability, p. 346, for Arrow-IV missiles as bombs)."
ARTSC-#,"Artillery, Sniper Cannon",Element has an artillery attack,"This special ability lets an Element make an artillery attack. Record each type of artillery separately. If an Element has multiple artillery weapons, include the number ofeach. For example, an Element with two Long Toms would record this ability as ARTLT-2. Refer to the Artillery Abbreviations Table, on page 344 (see the Bomb (BOMB#) special ability, p. 346, for Arrow-IV missiles as bombs)."
ARTT-#,"Artillery, Thumper",Element has an artillery attack,"This special ability lets an Element make an artillery attack. Record each type of artillery separately. If an Element has multiple artillery weapons, include the number ofeach. For example, an Element with two Long Toms would record this ability as ARTLT-2. Refer to the Artillery Abbreviations Table, on page 344 (see the Bomb (BOMB#) special ability, p. 346, for Arrow-IV missiles as bombs)."
ARTTC-#,"Artillery, Thumper Cannon",Element has an artillery attack,"This special ability lets an Element make an artillery attack. Record each type of artillery separately. If an Element has multiple artillery weapons, include the number ofeach. For example, an Element with two Long Toms would record this ability as ARTLT-2. Refer to the Artillery Abbreviations Table, on page 344 (see the Bomb (BOMB#) special ability, p. 346, for Arrow-IV missiles as bombs)."
AT#,Aerospace Transport,Transports # of Aerospace/Conventional Fighters,"An Element with this special ability can transport, launch and recover the indicated number of aerospace or conventional fighters (see Transporting Elements, p. 324)."
ATMO,Atmospheric,Limited to atmospheric fl ight,"An Element with this ability is incapable of space flight. Airships and VTOLs automatically receive this ability and may not enter the High-Altitude Map. Conventional fighters, and fixed-wing support vehicles also get this ability and may enter the high altitude map, but are restricted to the ground row, and row 1."
BAR,BAR,Element is protected by BAR 1-9 armor or commercial armor,An Element protected by BAR armor with a rating of 1 to 9 (or commercial armor) may suffer a critical hit any time it takes damage regardless of whether or not structure is damaged.
BFC,Basic Fire Control,Disregard some to-hit modifiers,A Support Element or IndustrialMech with this special ability has a to-hit modifier of +1 for its attack. A Support Element without this ability has a to-hit modifier of +2 for its attack.
BH,Bloodhound,Bloodhound Active Probe detects hidden Units,"A more sophisticated version of the Beagle Active Probe, the Bloodhound Active Probe is not affected by standard ECM or Light ECM. It can be used for identifying Blip counters and determining the variant of a given Element (see Concealing Record Sheets, p. 280). This special ability automatically confers the Recon (RCN) special ability."
BHJ,BattleMech HarJel,Reduced critical hit chance in water and vacuum,A 'Mech protected by HarJel ignores critical hit chances caused by being underwater or in a vacuum. Critical hit chances from structure damage (and other sources) still apply.
BOMB#,Bomb,This Element can carry # of bombs,"Conventional and aerospace fighters, fixed wing support vehicles and battle armor can carry bombs. For fighters the max bomb slots are based on weight class: Light-2, Medium-3, Heavy-4. Fixed-Wing support vehicles get 1 bomb slot for every 5 external hardpoints. Battle armor Units get 1 bomb slot for every 5 bomb racks. Battle armor are limited to the advanced rules version of cluster bombs. Record this as BOMB#, where # equals the bomb slots available. Arrow-IV missiles carried as bombs take 2 slots for the first missile, and 1 slot for each additional missile."
BRID,Bridgelayer,Creates a temporary bridge,"An Element with this special ability may deploy a temporary bridge capable of spanning a gap up to 30 meters. Multiple bridges may be linked together to extend the reach of an existing bridge. Deploying or extending a bridge takes one turn, during which the bridgelayer cannot move. After the bridge is deployed, the bridgelaying Element may move normally. A bridge does not need to be deployed such that each side of the bridge rests on solid ground; it may be deployed as a makeshift dock extending into a water hex. <p>Bridges deployed by Bridgelayers can support Elements up to Weight Class 3 or Size Class 2 (except for Size Class 2 Rail Elements). All bridges automatically fl oat as they contain integral fl otation devices by design. A bridge may be targeted like a building and is destroyed once it has taken 18 points of damage. When a bridge is reduced to 10 points or less, it may only support up to Weight Class 2 and Size Class 1 Elements. When it is reduced to 5 or fewer points it may only support Weight Class 1 and Size Class 1 Elements. <p>If an Element that exceeds a bridge's weight class attempts to use it, the bridge immediately collapses before the Element is able to cross. The Element falls and suffers 1 point of damage per 3 Levels (or fraction thereof) of difference between the starting hex and destination hex (roll for critical hits normally). If the Element lands in prohibited terrain as a result of a bridge collapse, it is destroyed. <p>Even though BattleForce hexes are 90m across, a single 30m bridge may be used to cross a body of water that is one hex wide. Bridge placement is assumed to take advantage of the irregular width of the body of water, creating a safe crossing at a ""narrow"" point. For bodies of water more than one hex wide, the correct number of bridges (i.e. 3 per hex) must be used.<p>Infantry with this ability take 2 turns, plus 1 additional turn if they take damage during this time, to complete a bridge that can support Units up to Weight Class 2."
BT,Booby Trap,Element may self-destruct,"The booby trap is a last-ditch weapon. An Element with this ability has devoted considerable mass to a self-destruct mechanism. It may be activated during the Combat Phase in place of a weapon or physical attack. If activated, the system destroys the Element and delivers an area-effect attack in the Element's hex. <p>Activated on the ground, all Elements in the hex suffer damage equal to the booby-trapped Element's weight/size class times its MV. For example, a booby-trapped assault 'Mech with a MV of 3 would do 12 points of damage (weight class 4 x MV 3 = 12) to all Elements in its hex.<p>If the booby trap is activated in the air or in space, all Elements in the hex suffer damage equal to the booby-trapped Element's weight/size class."
BW#,Burn Weeks Fuel,# of weeks of fuel capacity,
C3BS#,C3/C3I Boosted System,"As C3, but is immune to ECM interference except from Angel ECM","A C3 boosted system works identically to a standard C3 system except that most ECM does not affect it. Angel ECM affects it in the same way as standard ECM affects standard C3 systems, but all other ECM is ignored. Boosted systems are incompatible with standard systems and may not be interchanged. C3 boosted systems are available in Slave and Master versions. Refer to C3 Master Computer below for game effects."
C3EM#,C3 Emergency Master Computer,Network Elements and other C3M for attack bonuses,"A C3EM system activates during the End Phase of any turn in which the network's C3 master cannot be contacted (either due to destruction or envelopment by ECM). The emergency master runs for 2 consecutive turns (not counting the turn in which it activates), shutting down in the End Phase of the second turn. While running, the C3EM system duplicates all functions of a C3 master computer."
C3I#,C3 Improved Computer,Network 6 Elements for attack bonuses,"The C3i computer enables up to 6 Elements to share targeting information and receive a to-hit bonus. Multiple networks cannot be linked together, and C3i is incompatible with C3. <p>Standard Rules: All C3ielements must belong to the same Unit. All Elements in that Unit get a -1 to-hit modifier on their weapon attacks. <p>Advanced Rules: Elements may belong to any Unit. Ifelements are all in the same Unit, they must be split or detached to gain the full benefit from the system. To make an attack using a C3inetwork, calculate the to-hit number using the range modifier as if the attacker were the networked Element,not affected by an ECM bubble,nearest the target with line of sight. All other modifiers apply as normal. Damage is based on the actual range from attacker to target. Therefore, an attacking Element must have a Damage Value at the range corresponding to its actual range to the target. The attacking Element must also have valid LOS and the target must be in the attacker's firing arc. The C3inetwork itself has no maximum range, and does not improve indirect or physical attacks.<p>Losing C3i<p> Because no master computer exists in an improved C3inetwork, the network cannot be shut down by the loss of a single Element. C3i ceases to function if it is within an ECM bubble (though Elements outside the bubble are unaffected), but resumes normal operation once moved outside the ECM bubble."
C3M#,C3 Master Computer,Network 3 Elements and other C3M for attack bonuses,"The C3 Master computer enables up to four Elements to share targeting information and receive a to-hit bonus. One Element in a C3 network must mount a C3 Master computer. The remaining three Elements must mount C3 computers (either slave or master). Up to three C3 networks may be linked together (see pp. 131-133, TW). <p>Standard Rules: All C3 Elements must belong to the same Unit. All Elements in that Unit get a -1 to-hit modifier to their weapon attacks. The network may be expanded to include two additional Units (up to 12 Elements total; see p. 132, TW). <p>Advanced Rules: Under advanced rules, this system works almost identically to C3 as described in Total Warfare (see pp. 131-133). Units must be split or detached to gain the full benefit of the system. <p>To make an attack using a C3 network, calculate the to-hit number using the range modifier as if the attacker were the networked Element,not affected by an ECM bubble,nearest the target. All other modifiers apply as normal. Damage is based on the actual range from attacker to target. Therefore, an attacking Element must have a Damage Value at the range corresponding to its actual range to the target. The attacking Element must also have valid LOS and the target must be in the attacker's firing arc. The C3 network itself has no maximum range, and does not improve indirect or physical attacks. The C3 Master (but not the C3 Slave) exactly duplicates the function of target acquisition gear. <p>Armor that infl icts range modifiers against attacking Elements does not confuse a C3 network. All C3 Elements use the range modifier for Stealth armor as if they were the nearest C3 Element not affected by an ECM bubble. However, some such systems (notably the Stealth Armor System) include their own ECM system; in this case, an attacking Element must be outside the effective range of the ECM mounted on the target Unit, or the attacker is cut off from the network.<p>Losing a C3  network<p>The destruction (or ECM envelopment) of the Element carrying a C3 Master disables the network for all Elements linked through that master. In the case ofeCM envelopment, the network resumes functioning once the Element with the C3 master is no longer in the ECM field. Elements are only affected by the loss of the C3 master to which they link. The loss of another C3 master will not affect them unless it also affects the network (see p. 133, TW). The destruction of a Unit carrying a C3 Slave has no effect on the rest of the C3 network."
C3RS#,C3 Remote Sensor,Element can deploy static C3 sensors,"A C3 remote sensor must be set to a particular C3 network when deployed and will have no effect if the network is ""full"" ofelements (that is, the remote sensor cannot expand a network past its size limit). In the turn following deployment, the remote sensor acts as a stationary C3 slave for the designated network. After one turn, the device exhausts its power supply ply and ceases to function. An Element with this ability may deploy 4 remote sensors per game."
C3S#,C3 Slave Computer,Connects to a C3M for attack bonuses,An Element equipped with a C3 slave can link into a C3 network as described above. Elements with C3 slaves but no master cannot create a network.
CAP,Capital,Element has capital weaponry (non-missile),The massive weapons found in WarShips and the handful of remaining SDS Systems are essentially much bigger versions of their simpler cousins. Elements with these powerful weapons are capable of obliterating virtually anything in short order. Capital weapons have longer ranges than standard weapons and do their full damage in BattleForce scale.
CAR#,Cargo,Element occupies # tons of transport space,"An Element with this special ability can be carried by a Unit with transport space. The Element occupies transport space equal to its cargo rating; for example, a squad of Inner Sphere Standard battle armor has a CAR4 special ability, and so would need an Element with IT4 to transport it."
CASE/CASE II,CASE/CASE II,Elements with this ability can survive Ammo Hit critical hits,"Elements with this ability can survive Ammo Hit critical hits (see Ammo Hit, p. 230)."
CK#,Cargo Transport (Kilotons),Element can transport # of kilotons of cargo,"This ability is identical to the Cargo Transport-Tons ability, except that the cargo is designated in 1,000-ton lots."
CR,Critical Resistant,,"A unit with this special ability features special armor or other protective features that reduces the chance and severity of a critical hit (including damage to structure, damage effects from armorpenetrating weapons, and hull breaches while in vacuum or underwater). Any time an attack on this unit prompts a roll on its Critical Hits Table, apply a -2 modifier to the Critical Hit roll. Modified critical results of 1 or less are treated as No Critical Hit results."
CRW#,Crew,,This ability has no effect on BattleForce play.
CT#,Cargo Transport (Tons),Element can transport # of tons of cargo,"Elements with this ability have bays or other internal space set aside for carrying cargo: munitions, supplies and the like.  This space is not suited for transporting battle-ready Elements (see Elements as Cargo, p. 326). This ability usually applies to DropShips, and is always used in conjunction with the Door special ability."
D#,Door,Element has # of doors for loading/unloading Elements,"This ability indicates the number of ingress/egress doors available on a DropShip, Small Craft, Support or Transport Element's bay. Each door is tied to a particular bay, and can accommodate a limited number ofelements per turn (see Transporting Elements, p. 324)."
DCC#,Drone Carrier Control System,Element can control # of remote drones,"Elements with the Drone Control Element (DCE) special ability may control 1 remote drone per drone operator, usually equivalent to the number of drones carried."
DRO,Drone,Element is a remote drone,"Ground drones must stay within 450 hexes (26 BattleForce mapsheets) of their control vehicle, unless the control vehicle is airborne or in orbit, in which case range is functionally limitless for a ground game. In space, drones need only remain within LOS to their controller, as the actual range limit in hexes is more than 50,000. <p>Drones may spot for indirect fire. <p>Drones enveloped in a hostile ECM field shut down during the End Phase of the turn in which they were trapped by the field. They remain shut down until the ECM field is no longer present. Drones restart automatically in the End Phase of the turn in which the ECM field is removed. If the drone control Element is caught by a hostile ECM field, all of its drones shut down until the ECM field is no longer present. In addition, if the LOS from a drone control Element to its drone passes through an ECM bubble, the drone will shut down. This is frequently avoided by the use of Satellite uplinks for drone control. If the drone control Element is eliminated, the drones shut down for the rest of the game. <p>Aside from these restrictions, drones operate as a normal Element of their type with a Skill Rating equal to the Skill Rating of the drone control Element plus 1."
DT#,DropShip Transport,Transports # of DropShips,An Element with this special ability can transport the indicated number of DropShips through the use of docking collars. A critical hit to a docking collar reduces this ability by 1.
ECM,Electronic Countermeasures,Blocks Active Probe (PRB) and C3,"An ECM suite's area ofeffect is a 1-hex radius from the Unit carrying it, meaning it creates an ECM bubble in the hex with the ECM-equipped Element and all 6 adjacent hexes. Friendly Active Probes or C3 computers are not affected, nor does the ECM suite affect other scanning and targeting devices, such as TAG. <p>ECM has the following effects: <p>ECM vs. Active Probes: ECM negates the effects of Active Probes if the Element with the Active Probe is within the ECM bubble or draws LOS through the ECM bubble. <p>ECM vs. C3 Networks: ECM disrupts C3 networks, preventing their function depending upon the type of C3 network. If a C3 master Unit is isolated from the network because it ventures inside the ECM bubble (or the LOS to the Elements it controls passes through the ECM bubble), the entire portion of the network below it is effectively shut off and loses C3 abilities. Only those C3 Units able to draw a line of sight to the master Unit that does not pass through the ECM bubble can access the network. <p>If the master Element that connects the lances of a company lies inside the ECM effect radius (or the LOS to that Element passes through an ECM bubble), the link between the lances is lost, though each lance's network functions normally (unless the ECM also interferes with them individually). <p>If a C3i-equipped Element is caught within the ECM bubble or draws its LOS to its partner C3ielements through an ECM bubble, the Element is isolated from the network and loses all C3i abilities."
EE/FC,Elementary Engine,"Element mounts an ""elementary"" type ofengine","Elements with EE/FC must have SEAL to operate underwater. Elements with EE may not operate in vacuum. Elements with FC and SEAL operate normally in vacuum. 'Mechs suffer no heat buildup from an engine hit, but explode on a 2D6 roll of 12."
ENE,Energy,Element mounts only energy weapons,An Element with this ability ignores Ammo critical hits.
ENG,Engineering,Element can clear rubble and woods hexes,"An Element with this special ability can clear woods just like an Element with the Saw special ability. In addition, an Element with this ability can clear a path through a rubble hex. It takes 1 turn for a Unit with 4 or more engineering Elements to clear a rubble hex, 2 turns for 3 Elements, 3 turns for 2 Elements and 4 turns for 1 Element. The hex does not change terrain type; the clearing action simply creates a path through the rubble."
ES,Ejection Seat,Element equipped with ejection system that may save pilot,"The pilot of an Element with an ejection seat is automatically ejected if the Elements takes an Ammo critical hit (see Ejection/ Abandoning Elements, p. 314)."
FD,Flight Deck,Capable of launching/landing conventional fighers and VTOLs,"Only found on Very Large Transport Elements, a Flight Deck allows for the lift-off and landing of aerospace and conventional fighters, Small and Medium Airships, VTOLs, and Small and Medium Fixed-Wing Support or Transport Elements."
FF,Firefighting Engineers,Infantry that can put out fires.,"These Elements may put out fires within 2"" on a 2d6 roll of 8+. Reduce this target number by 1 for each turn spent fighting a fire (to a max of -3), and for each additional Element engaged in fighting the same fire."
FLK X/X/X,Flak,"Bonus to-hit aerospace Element, VTOLs and WiGEs","Elements with this ability that miss a to-hit roll against an airborne aerospace unit, VTOL or WiGE target by 2 or less can deal its FLK rating in damage to the target."
FR,Fire Resistant,Not affected by inferno attacks or Heat (HT) weapons,"Elements with this ability are not affected by infernos or other weapons that generate heat (HT#). If the heat-causing weapon deals damage in addition to causing heat, that damage still applies."
FUEL#,Fuel,# of maps unit can fly a combat radius.,
HELI,Helipad,May lift off and land VTOL Elements from this Element,This special ability allows an Element with the VTOL special ability to lift off from or land on this Element.
HPG,Hyperpulse Generator,Element mounts and HPG,An HPG allows for interstellar communication between systems up to fifty light-years apart. It has no direct effect on BattleForce game play.
HT#,Heat,Attacks from this Element generate heat for the target,"Elements with this ability add to the heat level of their target on a successful hit. If the target does not use a heat scale, it suffers damage equal to the attacker's heat rating in addition to the normal attack damage (see Determine and Apply Damage, p. 228)."
I-TSM,Industrial TSM,Additional MV and +1 physical attack damage,"Elements with the Industrial TSM special ability move faster and do additional damage. The extra movement is already calculated in their Total Warfare statistics, and so no bonus is applied to their BattleForce stats. The Element also does 1 additional point of physical attack damage (standard and Melee physical attacks only), but with a +2 to-hit modifier to refl ect the clumsiness created by I-TSM."
IF#,Indirect Fire,Can fire over intervening terrain,"The Indirect Fire ability allows an Element to attack without having LOS to the target by arcing its attack over intervening obstacles in a way similar to mortars and artillery. The numerical rating indicates the amount of damage infl icted from a successful indirect attack. An indirect attack is made in place of an Element's normal weapon attack (see Indirect Fire Attacks, p. 225)."
IN X/X/X,Inaccurate,Weapons with +1 to hit modifiers.,Elements with this ability reduce their damage this much of the to-hit roll was not EXCEEDED.
INARC#,iNarc,May make an additional attack with Narc beacons or special ammo,"An Element with this special ability may make an extra attack with each of its iNarc launchers. The attack has a max range of Medium. A target struck by this attack suffers 1 additional point of damage from all Indirect Fire (IF), LRM, and SRM attacks for the rest of the game,unless it is within an ECM bubble. Instead of their normal attack, iNarcs may fire special ammo (see Alternate Munitions, p. 308)."
IT#,Infantry Transport,Element has # tons of infantry transport space available,The numerical rating associated with this ability indicates the number of tons of transport space available. The Element may carry any number of infantry or battle armor Elements as long as these Elements' total cargo requirement does not exceed the transporting Element's infantry transport rating.
KF,Kearny-Fuchida Drive,Element can make hyperspace jumps,An Element with this special ability can make a hyperspace jump up to thirty light-years.
LA #/#,Limited Ammo,Limited ammo / resupply cost,
LEAD,Leader,Element generates Command Points,"Elements occupying command positions in the Chain of Command receive this special ability. As a refl ection of their battlefield acumen, Elements with this ability generate Command Points equal to their tier of command (see Command Phase, p. 265)."
LECM,Light ECM,"Same as ECM, but with a 1-hex range","Light ECM functions identically to ECM, but with a reduced radius. Light ECM only creates an ECM bubble in the Element's hex. It does not create a bubble in any adjacent hexes."
LF,Lithium-Fusion,Element mounts lithium-fusion batteries,Lithium-fusion batteries can be used to store the charge for a hyperspace jump. Ships so equipped can immediately make a second jump after completing one. Command Points must still be spent for the second jump.
LG,Large,Element is considered Large for stacking purposes,"The Element is considered Large for stacking purposes (see Stacking, p. 219). It fully occupies one BattleForce hex."
LPRB,Light Active Probe,Reveals hidden Elements within 1 hex,"Light Active Probes function identically to standard Active Probes, but with reduced range (see Blip Counters, p. 260)."
LRM X/X/X,Long Range Missile,Tracks an Element's damage with LRMs,"This ability tracks an Element's standard LRM damage if it can do 10 or more points of damage. This ability allows an Element to use specialty ammo (see Alternate Munitions, p. 308). An attack from  an Element with the LRM special ability does less damage to a target with AMS."
LTAG,Light TAG,Designates a target for artillery attacks; max range: Short,"An Element with Light Tag can paint targets for homing missiles (see Homing Missiles, p. 286). Light Tag works at short range only."
M/BTAS#,Taser,The Element mounts one or more tasers,"Record this as M/BTAS# where M indicates a 'Mech taser, B indicates a battle armor taser, and # is the number of tasers mounted on the 'Mech or battle armor.<p>In addition to any normal attacks allowed the 'Mech each turn, it may make that number of taser attacks divided among any number of targets within firing arc and short range. Battle armor Elements with tasers may make that number of attacks per game; i.e. a squad of battle armor with 4 tasers could make 4 taser attacks per game, while a 'Mech equipped with 2 tasers could make 2 taser attacks every turn.<p>A non-aerospace element hit by a taser must make a taser effect roll.On an 8+, the element is shutdown for 1 turn.On a 7 or less, the element has a +1 penalty to all skill rolls for 1 turn (not cumulative with additional taser hits). This roll is modified by -2 for Battle Armor Tasers, -2 for BattleMech targets, or +2 for Battle Armor targets."
MAG,Maglev,Element restricted to maglev rails,"A variation of the Rail special ability, Elements with maglev are limited in their ability to travel. Elements with maglev may only enter hexes with maglev rails."
MAR,Marine,,"An infantry Element equipped and trained for space operations (see Boarding and Repelling, p. XX)."
MAS/LMAS,Mimetic Armor Systems,Attacks against Element suffer to-hit penalties,"This ability functions similarly to the Stealth special ability. Weapon attacks against an Element with this ability add a to-hit modifier based on how far the Element moved in the current turn's Ground Movement Phase. For 'Mechs: zero hexes moved adds a +3 to-hit modifier; 1-2 hexes moved adds a +2 to-hit modifier; for 3-5 hexes moved, add a +1 to-hit modifier. If the Element moved more than 6 hexes, do not apply a modifier. For battle armor: +3 for zero hexes moved, +2 for 1 hex moved, +1 for 2 hexes moved and no modifier for 3 or more hexes moved."
MASH#,Mobile Army Surgical Hospital,"""Heals"" injured infantry Units","An Element with MASH can be used to ""repair"" damage to infantry and battle armor Elements. A MASH Unit automatically includes one operating theatre. Additional theatres may be added (see p. 228, TM). Additionally, every full ton of Paramedic Equipment (see p. 233, TM) also counts as one additional theatre if the Element already has a MASH core Unit. MASH has no effect in standard or advanced play, but will be detailed in Interstellar Operations."
MDS#,Mine Dispenser,Element may deploy mines,"This ability allows an Element to create minefields in hexes through which it travels (see Minefields, p. 287). Record this ability as MDS# where # is the number of mine dispensers mounted on the Element. Each mine dispenser deploys a density 1 minefield. Multiple deployments in the same hex increase the density of the minefield to a max of 5."
MECH,Mechanized,Battle Armor Element may ride on Omnielements,A battle armor Element with this special ability may be transported using the Mechanized Battle Armor rules (see p. 324).
MEL,Melee,Element has a physical attack weapon,"This special ability indicates a 'Mech is equipped with a physical attack weapon and does 1 additional point of physical attack damage (see Physical Attacks, p. 232). Multiple weapons are not cumulative."
MFB,Mobile Field Base,Bonus on Repair Rolls,"A mobile field base is a special salvage Unit that provides bonuses on repair rolls. MFB has no effect in standard or advanced play, but will be detailed in Interstellar Operations."
MHQ#,Mobile Headquarters,Helps identify Blips and adds Command Points,"A measure of command, control, and communication equipment, this ability provides different bonuses depending on the numerical rating (see Battlefield Intelligence, p. 263)."
MSL,Missile,Element has capital and/or sub-capital missile launcher(s),Elements with this special ability have been outfitted with Capital and Sub-Capital scale missile launchers. Point Defense Weapons may reduce damage from these weapons.
MSW,Minesweeper,Eliminates minefields,"An Element with a minesweeper automatically clears any minefields in the hex it occupies at the end of the Movement Phase (see Minefields, p. 287). During the turn it clears a minefield, an Element may take no actions aside from expending MV."
MT#,Mech Transport,Transports # of 'Mechs,"An Element with this special ability can transport the indicated number of 'Mechs. This ability usually applies to DropShips, and is always used in conjunction with the Door special ability (see Transporting Elements, p. 324)."
MTN,Mountain Troops,Infantry that may climb 2 levels per turn.,These infantry Elements may climb 2 levels per turn.
NC3,Naval C3,Network Aerospace Elements for attack bonuses,A Naval C3 system functions like a C3 master computer (see p. 347) with a maximum range of 20 BattleForce space hexes. Up to 6 Elements may participate in a Naval C3 network. <p>Standard Rules: All linked Elements receive a -1 to-hit modifier on their attacks. The Naval C3 network is not affected by ECM of any kind. <p>Advanced Rules: This system functions like a C3I system with respect to range modifiers for weapon attacks.
NFC,No Fire Control,Unit contains no fire control,Support elements are assumed to have advanced fire control unless stated as basic (+1 to hit) or none (+2 to hit)
OMNI,Omni,Element is an Omnielement,An Omnielement (vehicle or 'Mech) may transport a single battle armor Element using the Mechanized Battle Armor rules (see p. 324).
ORO,Off -Road,Supports Elements that have off -road modifications,"Support Elements that do not have the Off -Road Chassis and Controls modifications pay 1 additional MP for every nonpaved hex they traverse, which can drastically impede a Unit's mobility. Elements with the Off -Road ability pay no extra MP when moving through non-paved hexes."
OVL,Overheat:  Long Range,,An Element with this special ability can use its Overheat Value at long range.
PAR,Paratroops,,These infantry Elements may dismount from airborne transport Elements (including aerospace Elements) just like jump infantry.
PL X/X/X,Pulse Lasers,Weapons with -2 to hit modifiers.,Elements with this ability can miss by 2 and still do this much damage.
PNT#,Point Defense,Destroys Capital Missile or reduces their chance of hitting,"Unless it is shut down, an Element protected by a point defense system automatically engages any missiles that attack it. Unlike an AMS, the point defense system may also engage Arrow IV, Capital or Sub-Capital missiles. The system is always successful, i.e. a to-hit roll is not necessary. The system generates a number of points of damage equal to its numerical rating. Thus an Element with PNT6 would generate 6 points of damage. This damage is allocated among incoming missiles at the discretion of the controlling player. <p>For each point of damage infl icted against Arrow IV, Capital or Sub-Capital missiles in this fashion add a +1 modifier for the missile's to-hit roll. If a missile takes damage equal to it's damage value it is destroyed. For each point of damage infl icted against any other type of missile multiply its damage value by 0.50 and round down to; if the type of missile does not do damage, it is eliminated. If two points of damage are assigned to any other type of missile attack, the missile attack is eliminated. Point defense weapons cover a 360 degree arc, protecting every hexside of an Element with this ability."
