Id, name, class, variant, type, subtype, pv, size, move, armor, structure, damageS, damageSMin, damageM, damageMMin, damageL, damageLMin, damageE, damageEMin, overheat, abilities, imagelink, rulesLevel, tonnage, intro, role, technology, threshold
8475,"=hyperlink(""http://masterunitlist.info/Unit/Details/8475"", ""Achileus Light Battle Armor [Laser] (Sqd5)"")","=hyperlink(""https://www.sarna.net/wiki/Achileus_Light_Battle_Armor"", ""Achileus Light Battle Armor"")",[Laser] (Sqd5),Infantry,BA,15,1,6/6j,1,2,2,0,0,0,0,0,0,0,0,"AM, CAR5, MEC, STL",https://i.ibb.co/ZcHFYBn/achileus-3058u.png,Standard,0,3057,Ambusher,Inner Sphere,0
8840,"=hyperlink(""http://masterunitlist.info/Unit/Details/8840"", ""Achileus Light Battle Armor [Laser] (Sqd6)"")","=hyperlink(""https://www.sarna.net/wiki/Achileus_Light_Battle_Armor"", ""Achileus Light Battle Armor"")",[Laser] (Sqd6),Infantry,BA,15,1,6/6j,1,2,2,0,0,0,0,0,0,0,0,"AM, CAR6, MEC, STL",https://i.ibb.co/ZcHFYBn/achileus-3058u.png,Standard,0,3057,Ambusher,Inner Sphere,0
10,"=hyperlink(""http://masterunitlist.info/Unit/Details/10"", ""Achileus Light Battle Armor [MG] (Sqd4)"")","=hyperlink(""https://www.sarna.net/wiki/Achileus_Light_Battle_Armor"", ""Achileus Light Battle Armor"")",[MG] (Sqd4),Infantry,BA,14,1,6/6j,1,2,1,0,0,0,0,0,0,0,0,"AM, CAR4, MEC, STL",https://i.ibb.co/ZcHFYBn/achileus-3058u.png,Standard,0,3057,Ambusher,Inner Sphere,0
8476,"=hyperlink(""http://masterunitlist.info/Unit/Details/8476"", ""Achileus Light Battle Armor [MG] (Sqd5)"")","=hyperlink(""https://www.sarna.net/wiki/Achileus_Light_Battle_Armor"", ""Achileus Light Battle Armor"")",[MG] (Sqd5),Infantry,BA,14,1,6/6j,1,2,1,0,0,0,0,0,0,0,0,"AM, CAR5, MEC, STL",https://i.ibb.co/ZcHFYBn/achileus-3058u.png,Standard,0,3057,Ambusher,Inner Sphere,0
8841,"=hyperlink(""http://masterunitlist.info/Unit/Details/8841"", ""Achileus Light Battle Armor [MG] (Sqd6)"")","=hyperlink(""https://www.sarna.net/wiki/Achileus_Light_Battle_Armor"", ""Achileus Light Battle Armor"")",[MG] (Sqd6),Infantry,BA,15,1,6/6j,1,2,2,0,0,0,0,0,0,0,0,"AM, CAR6, MEC, STL",https://i.ibb.co/ZcHFYBn/achileus-3058u.png,Standard,0,3057,Ambusher,Inner Sphere,0
11,"=hyperlink(""http://masterunitlist.info/Unit/Details/11"", ""Achileus Light Battle Armor [TAG] (Sqd4)"")","=hyperlink(""https://www.sarna.net/wiki/Achileus_Light_Battle_Armor"", ""Achileus Light Battle Armor"")",[TAG] (Sqd4),Infantry,BA,14,1,6/6j,1,2,0,1,0,0,0,0,0,0,0,"AM, CAR4, LTAG, MEC, STL",https://i.ibb.co/ZcHFYBn/achileus-3058u.png,Standard,0,3059,Ambusher,Inner Sphere,0
8477,"=hyperlink(""http://masterunitlist.info/Unit/Details/8477"", ""Achileus Light Battle Armor [TAG] (Sqd5)"")","=hyperlink(""https://www.sarna.net/wiki/Achileus_Light_Battle_Armor"", ""Achileus Light Battle Armor"")",[TAG] (Sqd5),Infantry,BA,14,1,6/6j,1,2,0,1,0,0,0,0,0,0,0,"AM, CAR5, LTAG, MEC, STL",https://i.ibb.co/ZcHFYBn/achileus-3058u.png,Standard,0,3059,Ambusher,Inner Sphere,0
8842,"=hyperlink(""http://masterunitlist.info/Unit/Details/8842"", ""Achileus Light Battle Armor [TAG] (Sqd6)"")","=hyperlink(""https://www.sarna.net/wiki/Achileus_Light_Battle_Armor"", ""Achileus Light Battle Armor"")",[TAG] (Sqd6),Infantry,BA,14,1,6/6j,1,2,0,1,0,0,0,0,0,0,0,"AM, CAR6, LTAG, MEC, STL",https://i.ibb.co/ZcHFYBn/achileus-3058u.png,Standard,0,3059,Ambusher,Inner Sphere,0
3673,"=hyperlink(""http://masterunitlist.info/Unit/Details/3673"", ""Aerie PA(L) (Salvage) (Sqd4)"")","=hyperlink(""https://www.sarna.net/wiki/Aerie_PA(L)"", ""Aerie PA(L)"")",(Salvage) (Sqd4),Infantry,BA,10,1,6/6j,0,2,0,1,0,0,0,0,0,0,0,"CAR4, SOA, STL",https://i.ibb.co/mccjbL8/aerie-3075.png,Standard,0,3069,Ambusher,Clan,0
8600,"=hyperlink(""http://masterunitlist.info/Unit/Details/8600"", ""Aerie PA(L) (Salvage) (Sqd5)"")","=hyperlink(""https://www.sarna.net/wiki/Aerie_PA(L)"", ""Aerie PA(L)"")",(Salvage) (Sqd5),Infantry,BA,10,1,6/6j,0,2,0,1,0,0,0,0,0,0,0,"CAR5, SOA, STL",https://i.ibb.co/mccjbL8/aerie-3075.png,Standard,0,3069,Ambusher,Clan,0
8964,"=hyperlink(""http://masterunitlist.info/Unit/Details/8964"", ""Aerie PA(L) (Salvage) (Sqd6)"")","=hyperlink(""https://www.sarna.net/wiki/Aerie_PA(L)"", ""Aerie PA(L)"")",(Salvage) (Sqd6),Infantry,BA,10,1,6/6j,0,2,1,0,0,0,0,0,0,0,0,"CAR6, SOA, STL",https://i.ibb.co/mccjbL8/aerie-3075.png,Standard,0,3069,Ambusher,Clan,0
3674,"=hyperlink(""http://masterunitlist.info/Unit/Details/3674"", ""Aerie PA(L) (Sqd4)"")","=hyperlink(""https://www.sarna.net/wiki/Aerie_PA(L)"", ""Aerie PA(L)"")",(Sqd4),Infantry,BA,10,1,6/6j,0,2,0,1,0,0,0,0,0,0,0,"AM, CAR4, MEC, SOA, STL",https://i.ibb.co/mccjbL8/aerie-3075.png,Standard,0,3067,Ambusher,Clan,0
8601,"=hyperlink(""http://masterunitlist.info/Unit/Details/8601"", ""Aerie PA(L) (Sqd5)"")","=hyperlink(""https://www.sarna.net/wiki/Aerie_PA(L)"", ""Aerie PA(L)"")",(Sqd5),Infantry,BA,10,1,6/6j,0,2,0,1,0,0,0,0,0,0,0,"AM, CAR5, MEC, SOA, STL",https://i.ibb.co/mccjbL8/aerie-3075.png,Standard,0,3067,Ambusher,Clan,0
8965,"=hyperlink(""http://masterunitlist.info/Unit/Details/8965"", ""Aerie PA(L) (Sqd6)"")","=hyperlink(""https://www.sarna.net/wiki/Aerie_PA(L)"", ""Aerie PA(L)"")",(Sqd6),Infantry,BA,10,1,6/6j,0,2,1,0,0,0,0,0,0,0,0,"AM, CAR6, MEC, SOA, STL",https://i.ibb.co/mccjbL8/aerie-3075.png,Standard,0,3067,Ambusher,Clan,0
5579,"=hyperlink(""http://masterunitlist.info/Unit/Details/5579"", ""Ailette Rescue PA(L) (Sqd4)"")","=hyperlink(""https://www.sarna.net/wiki/Ailette"", ""Ailette"")",Rescue PA(L) (Sqd4),Infantry,BA,8,1,4f,0,2,0,1,0,0,0,0,0,0,0,"CAR4, RCN, SOA",https://i.ibb.co/mzNkVJ8/ailette-trva.png,Experimental,0,3080,Ambusher,Inner Sphere,0
8708,"=hyperlink(""http://masterunitlist.info/Unit/Details/8708"", ""Ailette Rescue PA(L) (Sqd5)"")","=hyperlink(""https://www.sarna.net/wiki/Ailette"", ""Ailette"")",Rescue PA(L) (Sqd5),Infantry,BA,8,1,4f,0,2,0,1,0,0,0,0,0,0,0,"CAR5, RCN, SOA",https://i.ibb.co/mzNkVJ8/ailette-trva.png,Experimental,0,3080,Ambusher,Inner Sphere,0
9072,"=hyperlink(""http://masterunitlist.info/Unit/Details/9072"", ""Ailette Rescue PA(L) (Sqd6)"")","=hyperlink(""https://www.sarna.net/wiki/Ailette"", ""Ailette"")",Rescue PA(L) (Sqd6),Infantry,BA,8,1,4f,0,2,0,1,0,0,0,0,0,0,0,"CAR6, RCN, SOA",https://i.ibb.co/mzNkVJ8/ailette-trva.png,Experimental,0,3080,Ambusher,Inner Sphere,0
3683,"=hyperlink(""http://masterunitlist.info/Unit/Details/3683"", ""Ailette Zero-G Engineering Exoskeleton (Sqd4)"")","=hyperlink(""https://www.sarna.net/wiki/Ailette_Zero-G_Engineering_Exoskeleton"", ""Ailette Zero-G Engineering Exoskeleton"")",(Sqd4),Infantry,BA,5,1,2f,0,2,0,1,0,0,0,0,0,0,0,"CAR4, SOA",https://i.ibb.co/mzNkVJ8/ailette-trva.png,Standard,0,3056,None,Inner Sphere,0
8605,"=hyperlink(""http://masterunitlist.info/Unit/Details/8605"", ""Ailette Zero-G Engineering Exoskeleton (Sqd5)"")","=hyperlink(""https://www.sarna.net/wiki/Ailette_Zero-G_Engineering_Exoskeleton"", ""Ailette Zero-G Engineering Exoskeleton"")",(Sqd5),Infantry,BA,6,1,4f,0,2,0,1,0,0,0,0,0,0,0,"CAR5, SOA",https://i.ibb.co/mzNkVJ8/ailette-trva.png,Standard,0,3056,None,Inner Sphere,0
8969,"=hyperlink(""http://masterunitlist.info/Unit/Details/8969"", ""Ailette Zero-G Engineering Exoskeleton (Sqd6)"")","=hyperlink(""https://www.sarna.net/wiki/Ailette_Zero-G_Engineering_Exoskeleton"", ""Ailette Zero-G Engineering Exoskeleton"")",(Sqd6),Infantry,BA,6,1,4f,0,2,0,1,0,0,0,0,0,0,0,"CAR6, SOA",https://i.ibb.co/mzNkVJ8/ailette-trva.png,Standard,0,3056,None,Inner Sphere,0
7387,"=hyperlink(""http://masterunitlist.info/Unit/Details/7387"", ""Clan Interface Armor (Sqd4)"")","=hyperlink(""https://www.sarna.net/wiki/Clan_Interface_Armor"", ""Clan Interface Armor"")",(Sqd4),Infantry,BA,6,1,6f,0,2,0,1,0,0,0,0,0,0,0,"AM, CAR4, MEC",https://i.ibb.co/gFgLgXS/machina-domini-jfr.png,Experimental,0,3083,Scout,Mixed,0
8828,"=hyperlink(""http://masterunitlist.info/Unit/Details/8828"", ""Clan Interface Armor (Sqd5)"")","=hyperlink(""https://www.sarna.net/wiki/Clan_Interface_Armor"", ""Clan Interface Armor"")",(Sqd5),Infantry,BA,7,1,6f,0,2,1,0,0,0,0,0,0,0,0,"CAR5, MEC",https://i.ibb.co/gFgLgXS/machina-domini-jfr.png,Experimental,0,3083,Scout,Mixed,0
9191,"=hyperlink(""http://masterunitlist.info/Unit/Details/9191"", ""Clan Interface Armor (Sqd6)"")","=hyperlink(""https://www.sarna.net/wiki/Clan_Interface_Armor"", ""Clan Interface Armor"")",(Sqd6),Infantry,BA,7,1,6f,0,2,1,0,0,0,0,0,0,0,0,"CAR6, MEC",https://i.ibb.co/gFgLgXS/machina-domini-jfr.png,Experimental,0,3083,Scout,Mixed,0
5838,"=hyperlink(""http://masterunitlist.info/Unit/Details/5838"", ""Constable Pacification Suit [ECM] (Sqd4)"")","=hyperlink(""https://www.sarna.net/wiki/Constable_Pacification_Suit"", ""Constable Pacification Suit"")",[ECM] (Sqd4),Infantry,BA,13,1,6/6j,1,2,1,0,0,0,0,0,0,0,0,"AM, CAR4, LECM, MEC",https://i.ibb.co/d0rpdK8/constable-3150.png,Standard,0,3092,Ambusher,Clan,0
8717,"=hyperlink(""http://masterunitlist.info/Unit/Details/8717"", ""Constable Pacification Suit [ECM] (Sqd5)"")","=hyperlink(""https://www.sarna.net/wiki/Constable_Pacification_Suit"", ""Constable Pacification Suit"")",[ECM] (Sqd5),Infantry,BA,13,1,6/6j,1,2,1,0,0,0,0,0,0,0,0,"AM, CAR5, LECM, MEC",https://i.ibb.co/d0rpdK8/constable-3150.png,Standard,0,3092,Ambusher,Clan,0
9081,"=hyperlink(""http://masterunitlist.info/Unit/Details/9081"", ""Constable Pacification Suit [ECM] (Sqd6)"")","=hyperlink(""https://www.sarna.net/wiki/Constable_Pacification_Suit"", ""Constable Pacification Suit"")",[ECM] (Sqd6),Infantry,BA,13,1,6/6j,1,2,1,0,0,0,0,0,0,0,0,"AM, CAR6, LECM, MEC",https://i.ibb.co/d0rpdK8/constable-3150.png,Standard,0,3092,Ambusher,Clan,0
5839,"=hyperlink(""http://masterunitlist.info/Unit/Details/5839"", ""Constable Pacification Suit [LMG] (Sqd4)"")","=hyperlink(""https://www.sarna.net/wiki/Constable_Pacification_Suit"", ""Constable Pacification Suit"")",[LMG] (Sqd4),Infantry,BA,15,1,6/6j,1,2,2,0,0,1,0,0,0,0,0,"AM, CAR4, MEC",https://i.ibb.co/d0rpdK8/constable-3150.png,Standard,0,3092,Ambusher,Clan,0
8718,"=hyperlink(""http://masterunitlist.info/Unit/Details/8718"", ""Constable Pacification Suit [LMG] (Sqd5)"")","=hyperlink(""https://www.sarna.net/wiki/Constable_Pacification_Suit"", ""Constable Pacification Suit"")",[LMG] (Sqd5),Infantry,BA,15,1,6/6j,1,2,2,0,0,1,0,0,0,0,0,"AM, CAR5, MEC",https://i.ibb.co/d0rpdK8/constable-3150.png,Standard,0,3092,Ambusher,Clan,0
9082,"=hyperlink(""http://masterunitlist.info/Unit/Details/9082"", ""Constable Pacification Suit [LMG] (Sqd6)"")","=hyperlink(""https://www.sarna.net/wiki/Constable_Pacification_Suit"", ""Constable Pacification Suit"")",[LMG] (Sqd6),Infantry,BA,15,1,6/6j,1,2,2,0,0,1,0,0,0,0,0,"AM, CAR6, MEC",https://i.ibb.co/d0rpdK8/constable-3150.png,Standard,0,3092,Ambusher,Clan,0
5840,"=hyperlink(""http://masterunitlist.info/Unit/Details/5840"", ""Constable Pacification Suit [SRM] (Sqd4)"")","=hyperlink(""https://www.sarna.net/wiki/Constable_Pacification_Suit"", ""Constable Pacification Suit"")",[SRM] (Sqd4),Infantry,BA,16,1,6/6j,1,2,2,0,1,0,0,0,0,0,0,"AM, CAR4, MEC",https://i.ibb.co/d0rpdK8/constable-3150.png,Standard,0,3092,Ambusher,Clan,0
8719,"=hyperlink(""http://masterunitlist.info/Unit/Details/8719"", ""Constable Pacification Suit [SRM] (Sqd5)"")","=hyperlink(""https://www.sarna.net/wiki/Constable_Pacification_Suit"", ""Constable Pacification Suit"")",[SRM] (Sqd5),Infantry,BA,16,1,6/6j,1,2,2,0,1,0,0,0,0,0,0,"AM, CAR5, MEC",https://i.ibb.co/d0rpdK8/constable-3150.png,Standard,0,3092,Ambusher,Clan,0
9083,"=hyperlink(""http://masterunitlist.info/Unit/Details/9083"", ""Constable Pacification Suit [SRM] (Sqd6)"")","=hyperlink(""https://www.sarna.net/wiki/Constable_Pacification_Suit"", ""Constable Pacification Suit"")",[SRM] (Sqd6),Infantry,BA,16,1,6/6j,1,2,2,0,1,0,0,0,0,0,0,"AM, CAR6, MEC",https://i.ibb.co/d0rpdK8/constable-3150.png,Standard,0,3092,Ambusher,Clan,0
5841,"=hyperlink(""http://masterunitlist.info/Unit/Details/5841"", ""Constable Pacification Suit [Sensor] (Sqd4)"")","=hyperlink(""https://www.sarna.net/wiki/Constable_Pacification_Suit"", ""Constable Pacification Suit"")",[Sensor] (Sqd4),Infantry,BA,15,1,6/6j,1,2,1,0,0,0,0,0,0,0,0,"AM, CAR4, MEC, RCN",https://i.ibb.co/d0rpdK8/constable-3150.png,Standard,0,3092,Scout,Clan,0
8720,"=hyperlink(""http://masterunitlist.info/Unit/Details/8720"", ""Constable Pacification Suit [Sensor] (Sqd5)"")","=hyperlink(""https://www.sarna.net/wiki/Constable_Pacification_Suit"", ""Constable Pacification Suit"")",[Sensor] (Sqd5),Infantry,BA,15,1,6/6j,1,2,1,0,0,0,0,0,0,0,0,"AM, CAR5, MEC, RCN",https://i.ibb.co/d0rpdK8/constable-3150.png,Standard,0,3092,Scout,Clan,0
9216,"=hyperlink(""http://masterunitlist.info/Unit/Details/9216"", ""Constable Pacification Suit [Sensor] (Sqd6)"")","=hyperlink(""https://www.sarna.net/wiki/Constable_Pacification_Suit"", ""Constable Pacification Suit"")",[Sensor] (Sqd6),Infantry,BA,16,1,6/6j,1,2,2,0,0,0,0,0,0,0,0,"AM, CAR6, MEC, RCN",https://i.ibb.co/d0rpdK8/constable-3150.png,Standard,0,3092,Scout,Clan,0
5842,"=hyperlink(""http://masterunitlist.info/Unit/Details/5842"", ""Constable Pacification Suit [TAG] (Sqd4)"")","=hyperlink(""https://www.sarna.net/wiki/Constable_Pacification_Suit"", ""Constable Pacification Suit"")",[TAG] (Sqd4),Infantry,BA,13,1,6/6j,1,2,1,0,0,0,0,0,0,0,0,"AM, CAR4, LTAG, MEC",https://i.ibb.co/d0rpdK8/constable-3150.png,Standard,0,3092,Scout,Clan,0
8721,"=hyperlink(""http://masterunitlist.info/Unit/Details/8721"", ""Constable Pacification Suit [TAG] (Sqd5)"")","=hyperlink(""https://www.sarna.net/wiki/Constable_Pacification_Suit"", ""Constable Pacification Suit"")",[TAG] (Sqd5),Infantry,BA,13,1,6/6j,1,2,1,0,0,0,0,0,0,0,0,"AM, CAR5, LTAG, MEC",https://i.ibb.co/d0rpdK8/constable-3150.png,Standard,0,3092,Scout,Clan,0
9084,"=hyperlink(""http://masterunitlist.info/Unit/Details/9084"", ""Constable Pacification Suit [TAG] (Sqd6)"")","=hyperlink(""https://www.sarna.net/wiki/Constable_Pacification_Suit"", ""Constable Pacification Suit"")",[TAG] (Sqd6),Infantry,BA,13,1,6/6j,1,2,1,0,0,0,0,0,0,0,0,"AM, CAR6, LTAG, MEC",https://i.ibb.co/d0rpdK8/constable-3150.png,Standard,0,3092,Scout,Clan,0
5793,"=hyperlink(""http://masterunitlist.info/Unit/Details/5793"", ""Djinn Battle Armor (Reflective) “Terrorizer” [Flamer] (Sqd4)"")","=hyperlink(""https://www.sarna.net/wiki/Djinn_Battle_Armor_(Reflective)"", ""Djinn Battle Armor (Reflective)"")",“Terrorizer” [Flamer] (Sqd4),Infantry,BA,14,1,6/6j,1,2,1,0,0,0,0,0,0,0,0,"AM, CAR4, HT1/-/-, MEC, RFA",https://i.ibb.co/TwmgPD5/djinn-3075.png,Experimental,0,3079,Ambusher,Inner Sphere,0
8715,"=hyperlink(""http://masterunitlist.info/Unit/Details/8715"", ""Djinn Battle Armor (Reflective) “Terrorizer” [Flamer] (Sqd5)"")","=hyperlink(""https://www.sarna.net/wiki/Djinn_Battle_Armor_(Reflective)"", ""Djinn Battle Armor (Reflective)"")",“Terrorizer” [Flamer] (Sqd5),Infantry,BA,14,1,6/6j,1,2,1,0,0,0,0,0,0,0,0,"AM, CAR5, HT1/-/-, MEC, RFA",https://i.ibb.co/TwmgPD5/djinn-3075.png,Experimental,0,3079,Ambusher,Inner Sphere,0
9079,"=hyperlink(""http://masterunitlist.info/Unit/Details/9079"", ""Djinn Battle Armor (Reflective) “Terrorizer” [Flamer] (Sqd6)"")","=hyperlink(""https://www.sarna.net/wiki/Djinn_Battle_Armor_(Reflective)"", ""Djinn Battle Armor (Reflective)"")",“Terrorizer” [Flamer] (Sqd6),Infantry,BA,14,1,6/6j,1,2,1,0,0,0,0,0,0,0,0,"AM, CAR6, HT1/-/-, MEC, RFA",https://i.ibb.co/TwmgPD5/djinn-3075.png,Experimental,0,3079,Ambusher,Inner Sphere,0
5794,"=hyperlink(""http://masterunitlist.info/Unit/Details/5794"", ""Djinn Battle Armor (Reflective) “Terrorizer” [Laser] (Sqd4)"")","=hyperlink(""https://www.sarna.net/wiki/Djinn_Battle_Armor_(Reflective)"", ""Djinn Battle Armor (Reflective)"")",“Terrorizer” [Laser] (Sqd4),Infantry,BA,14,1,6/6j,1,2,2,0,0,0,0,0,0,0,0,"AM, CAR4, MEC, RFA",https://i.ibb.co/TwmgPD5/djinn-3075.png,Experimental,0,3079,Ambusher,Inner Sphere,0
8716,"=hyperlink(""http://masterunitlist.info/Unit/Details/8716"", ""Djinn Battle Armor (Reflective) “Terrorizer” [Laser] (Sqd5)"")","=hyperlink(""https://www.sarna.net/wiki/Djinn_Battle_Armor_(Reflective)"", ""Djinn Battle Armor (Reflective)"")",“Terrorizer” [Laser] (Sqd5),Infantry,BA,14,1,6/6j,1,2,2,0,0,0,0,0,0,0,0,"AM, CAR5, MEC, RFA",https://i.ibb.co/TwmgPD5/djinn-3075.png,Experimental,0,3079,Ambusher,Inner Sphere,0
9080,"=hyperlink(""http://masterunitlist.info/Unit/Details/9080"", ""Djinn Battle Armor (Reflective) “Terrorizer” [Laser] (Sqd6)"")","=hyperlink(""https://www.sarna.net/wiki/Djinn_Battle_Armor_(Reflective)"", ""Djinn Battle Armor (Reflective)"")",“Terrorizer” [Laser] (Sqd6),Infantry,BA,14,1,6/6j,1,2,2,0,0,0,0,0,0,0,0,"AM, CAR6, MEC, RFA",https://i.ibb.co/TwmgPD5/djinn-3075.png,Experimental,0,3079,Ambusher,Inner Sphere,0
5792,"=hyperlink(""http://masterunitlist.info/Unit/Details/5792"", ""Djinn Battle Armor (Reflective) “Terrorizer” [MG]  (Sqd4)"")","=hyperlink(""https://www.sarna.net/wiki/Djinn_Battle_Armor_(Reflective)"", ""Djinn Battle Armor (Reflective)"")",“Terrorizer” [MG]  (Sqd4),Infantry,BA,13,1,6/6j,1,2,1,0,0,0,0,0,0,0,0,"AM, CAR4, MEC, RFA",https://i.ibb.co/TwmgPD5/djinn-3075.png,Experimental,0,3079,Ambusher,Inner Sphere,0
8714,"=hyperlink(""http://masterunitlist.info/Unit/Details/8714"", ""Djinn Battle Armor (Reflective) “Terrorizer” [MG]  (Sqd5)"")","=hyperlink(""https://www.sarna.net/wiki/Djinn_Battle_Armor_(Reflective)"", ""Djinn Battle Armor (Reflective)"")",“Terrorizer” [MG]  (Sqd5),Infantry,BA,13,1,6/6j,1,2,1,0,0,0,0,0,0,0,0,"AM, CAR5, MEC, RFA",https://i.ibb.co/TwmgPD5/djinn-3075.png,Experimental,0,3079,Ambusher,Inner Sphere,0
9078,"=hyperlink(""http://masterunitlist.info/Unit/Details/9078"", ""Djinn Battle Armor (Reflective) “Terrorizer” [MG]  (Sqd6)"")","=hyperlink(""https://www.sarna.net/wiki/Djinn_Battle_Armor_(Reflective)"", ""Djinn Battle Armor (Reflective)"")",“Terrorizer” [MG]  (Sqd6),Infantry,BA,13,1,6/6j,1,2,1,0,0,0,0,0,0,0,0,"AM, CAR6, MEC, RFA",https://i.ibb.co/TwmgPD5/djinn-3075.png,Experimental,0,3079,Ambusher,Inner Sphere,0
4083,"=hyperlink(""http://masterunitlist.info/Unit/Details/4083"", ""Djinn Battle Armor (Sqd4)"")","=hyperlink(""https://www.sarna.net/wiki/Djinn_Battle_Armor"", ""Djinn Battle Armor"")",(Sqd4),Infantry,BA,13,1,8/8j,1,2,1,0,0,0,0,0,0,0,0,"AM, CAR4, LTAG, MEC",https://i.ibb.co/TwmgPD5/djinn-3075.png,Standard,0,3070,Scout,Inner Sphere,0
